subsystem,code,is_axis_error,is_arm_error,short_message,short_message_en,user_hint,user_hint_en,operation,operation_en,detail,method,param1,param2,param3,param4,solution,for_expert,for_novice,related_log,stop_report,level,tech_solution,explanation,category
1,0X020C,TRUE,FALSE,非预期运动,Unexpected motion,运动偏差,Exceed the motion deviation limit,可忽略,Ignorable,期望位置偏差超限,自检前监测主手1、2、3关节的期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行报警,指令位置,实际位置,指令速度,实际速度,ignorable,TRUE,TRUE,FALSE,,低级,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
8,0X020C,TRUE,FALSE,非预期运动,Unexpected motion,运动偏差,Exceed the motion deviation limit,可忽略,Ignorable,期望位置偏差超限,自检前监测主手1、2、3关节的期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行报警,指令位置,实际位置,指令速度,实际速度,ignorable,TRUE,TRUE,FALSE,,低级,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
1,0X020D,TRUE,FALSE,运动偏差,Exceed the motion deviation limit,运动偏差,Exceed the motion deviation limit,请注意,attention,期望位置偏差超限,监测关节期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行提示,指令位置,实际位置,指令速度,实际速度,tip,TRUE,TRUE,FALSE,,无,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
8,0X020D,TRUE,FALSE,运动偏差,Exceed the motion deviation limit,运动偏差,Exceed the motion deviation limit,请注意,attention,期望位置偏差超限,监测关节期望位置和实际位置，若期望位置与实际位置偏差超过阈值持续2ms则进行提示,指令位置,实际位置,指令速度,实际速度,tip,TRUE,TRUE,FALSE,,无,,期望位置偏差超限报警时，指令位置{0:0}，实际位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
1,0X022A,TRUE,FALSE,异常操作,Abnormal operation,从手非预期运动,Unexpected motion of slave arm ,请点击“解除”恢复,Click REMOVE to restore,非预期运动报警,监控每个关节的运动，若非预期速度（实际速度-柔顺速度）超过阈值持续5ms则报警。,指令速度,非预期速度（实际速度-柔顺速度）,指令位置,指令力矩,recoverable,TRUE,TRUE,FALSE,,高级,,非预期运动报警报警时，指令速度{0:0}，非预期速度（实际速度-柔顺速度）{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
8,0X022A,TRUE,FALSE,异常操作,Abnormal operation,从手非预期运动,Unexpected motion of slave arm ,请点击“解除”恢复,Click REMOVE to restore,非预期运动报警,监控每个关节的运动，若非预期速度（实际速度-柔顺速度）超过阈值持续5ms则报警。,指令速度,非预期速度（实际速度-柔顺速度）,指令位置,指令力矩,recoverable,TRUE,TRUE,FALSE,,高级,,非预期运动报警报警时，指令速度{0:0}，非预期速度（实际速度-柔顺速度）{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
3,0X022C,TRUE,FALSE,非预期运动,Unexpected motion,人机位置调整非预期运动,Unexpected motion during ergonomic adjustment,可忽略,Ignorable,非预期运动报警,监控每个关节的运动，若实际速度超过阈值则进行报警。,医生台车状态机,期望速度,实际速度,绝对码盘位置,ignorable,TRUE,TRUE,FALSE,,低级,,非预期运动报警报警时，医生台车状态机为{0:4}，期望速度{1:0}，实际速度{2:0}，绝对码盘位置{3:0},安全保护
9,0X022C,TRUE,FALSE,非预期运动,Unexpected motion,人机位置调整非预期运动,Unexpected motion during ergonomic adjustment,可忽略,Ignorable,非预期运动报警,监控每个关节的运动，若实际速度超过阈值则进行报警。,医生台车状态机,期望速度,实际速度,绝对码盘位置,ignorable,TRUE,TRUE,FALSE,,低级,,非预期运动报警报警时，医生台车状态机为{0:4}，期望速度{1:0}，实际速度{2:0}，绝对码盘位置{3:0},安全保护
1,0X022C,TRUE,FALSE,非预期运动,Unexpected motion,主手非预期运动,unexpected motion of master arm,可忽略,Ignorable,非预期运动报警,监控主手1、2、3关节运动，若非预期速度（实际速度-柔顺速度）超过阈值持续5ms则报警。,指令速度,非预期速度（实际速度-柔顺速度）,指令位置,指令力矩,ignorable,TRUE,TRUE,FALSE,,低级,,非预期运动报警报警时，指令速度{0:0}，非预期速度（实际速度-柔顺速度）{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
8,0X022C,TRUE,FALSE,非预期运动,Unexpected motion,主手非预期运动,unexpected motion of master arm,可忽略,Ignorable,非预期运动报警,监控主手1、2、3关节运动，若非预期速度（实际速度-柔顺速度）超过阈值持续5ms则报警。,指令速度,非预期速度（实际速度-柔顺速度）,指令位置,指令力矩,ignorable,TRUE,TRUE,FALSE,,低级,,非预期运动报警报警时，指令速度{0:0}，非预期速度（实际速度-柔顺速度）{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
9,0X022D,TRUE,FALSE,人机位置调整非预期运动,Unexpected motion during ergonomic adjustment,人机位置非预期运动,Unexpected motion during ergonomic adjustment,,,非预期运动报警,自检后医生台车故障由C类故障降级为D类提示，监控每个关节的运动，若实际速度超过阈值则进行提示,医生台车状态机,期望速度,实际速度,实际位置,tip,TRUE,TRUE,FALSE,,无,,非预期运动报警报警时，医生台车状态为{0:4}，期望速度{1:0}，实际速度{2:0}，实际位置{3:0},安全保护
3,0X022D,TRUE,FALSE,人机位置非预期运动,Unexpected motion during ergonomic adjustment,人机位置非预期运动,Unexpected motion during ergonomic adjustment,,,非预期运动报警,自检后医生台车故障由C类故障降级为D类提示，监控每个关节的运动，若实际速度超过阈值则进行提示,医生台车状态机,期望速度,实际速度,实际位置,tip,TRUE,TRUE,FALSE,,无,,非预期运动报警报警时，医生台车状态为{0:4}，期望速度{1:0}，实际速度{2:0}，实际位置{3:0},安全保护
1,0X030A,TRUE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值并且关节持续往超出阈值方向运动2ms则报警。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,高级,,位置超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},安全保护
8,0X030A,TRUE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值并且关节持续往超出阈值方向运动2ms则报警。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,高级,,位置超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},安全保护
1,0X030B,TRUE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值并且关节持续往超出阈值方向运动2ms则报警。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,位置超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},安全保护
8,0X030B,TRUE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值并且关节持续往超出阈值方向运动2ms则报警。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,位置超限报警时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},安全保护
3,0X030C,TRUE,FALSE,人机位置调整超限,Exceed ergonomic position limit,人机位置调整超限,Exceed ergonomic position limit,,,位置超限,读取每个关节的位置值，超出阈值范围进行报警。,医生台车状态机,绝对码盘位置,电机码盘位置,0,ignorable,TRUE,TRUE,FALSE,,低级,,位置超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},安全保护
9,0X030C,TRUE,FALSE,人机位置调整超限,Exceed ergonomic position limit,人机位置调整超限,Exceed ergonomic position limit,,,位置超限,读取每个关节的位置值，超出阈值范围进行报警。,医生台车状态机,绝对码盘位置,电机码盘位置,0,ignorable,TRUE,TRUE,FALSE,,低级,,位置超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},安全保护
3,0X030D,TRUE,FALSE,人机位置超限,Exceed ergonomic position limit,人机位置超限,Exceed ergonomic position limit,,,位置超限,自检后医生台车故障由C类故障降级为D类提示，读取每个关节的位置值，超出阈值范围进行报警。,医生台车状态机,绝对码盘位置,电机码盘位置,0,tip,TRUE,TRUE,FALSE,,无,,位置超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},安全保护
9,0X030D,TRUE,FALSE,人机位置调整超限,Exceed ergonomic position limit,人机位置超限,Exceed ergonomic position limit,,,位置超限,自检后医生台车故障由C类故障降级为D类提示，读取每个关节的位置值，超出阈值范围进行报警。,医生台车状态机,绝对码盘位置,电机码盘位置,0,tip,TRUE,TRUE,FALSE,,无,,位置超限报警时，医生台车状态机为{0:4}，绝对码盘位置{1:0}，电机码盘位置{2:0},安全保护
1,0X030D,TRUE,FALSE,位置超限,Exceed the position limit,位置超限,Exceed the position limit,请移回,Please move back,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值则提示。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,tip,TRUE,TRUE,FALSE,,无,,位置超限触发提示时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},操作提示
8,0X030D,TRUE,FALSE,位置超限,Exceed the position limit,位置超限,Exceed the position limit,请移回,Please move back,位置超限,监测每个关节的反馈位置值，当反馈位置超出阈值则提示。,电机码盘位置,绝对码盘位置,指令位置,实际力矩,tip,TRUE,TRUE,FALSE,,无,,位置超限触发提示时，电机码盘位置{0:0}，绝对码盘位置{1:0}，指令位置{2:0}，实际力矩{3:0},操作提示
1,0X031A,TRUE,FALSE,运动异常,Abnormal movement,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令位置超限,监测每个关节的指令位置值，超出阈值范围持续2ms则报警,指令位置,电机码盘位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,高级,,指令位置超限报警时，指令位置{0:0}，电机码盘位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
8,0X031A,TRUE,FALSE,运动异常,Abnormal movement,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令位置超限,监测每个关节的指令位置值，超出阈值范围持续2ms则报警,指令位置,电机码盘位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,高级,,指令位置超限报警时，指令位置{0:0}，电机码盘位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
1,0X031B,TRUE,FALSE,运动异常,Abnormal movement,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令位置超限,监测每个关节的指令位置值，超出阈值范围持续2ms则报警,指令位置,电机码盘位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,中级,,指令位置超限报警时，指令位置{0:0}，电机码盘位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
8,0X031B,TRUE,FALSE,运动异常,Abnormal movement,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令位置超限,监测每个关节的指令位置值，超出阈值范围持续2ms则报警,指令位置,电机码盘位置,指令速度,实际速度,recoverable,TRUE,TRUE,FALSE,,中级,,指令位置超限报警时，指令位置{0:0}，电机码盘位置{1:0}，指令速度{2:0}，实际速度{3:0},安全保护
1,0X040B,TRUE,FALSE,操作过快,Too fast operation,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,期望速度偏差超限,监测每个关节期望速度值和实际速度值，偏差超过阈值持续2ms则报警,指令速度,实际速度,指令位置,指令力矩,recoverable,TRUE,TRUE,FALSE,,中级,,期望速度偏差超限报警时，指令速度{0:0}，实际速度{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
8,0X040B,TRUE,FALSE,操作过快,Too fast operation,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,期望速度偏差超限,监测每个关节期望速度值和实际速度值，偏差超过阈值持续2ms则报警,指令速度,实际速度,指令位置,指令力矩,recoverable,TRUE,TRUE,FALSE,,中级,,期望速度偏差超限报警时，指令速度{0:0}，实际速度{1:0}，指令位置{2:0}，指令力矩{3:0},安全保护
1,0X050B,TRUE,FALSE,操作过快,Too fast operation,速度过快,Exceed the speed limit,请点击“解除”恢复,Click REMOVE to restore,速度超限,监测每个关节速度值，超过阈值持续2.75ms则报警。,指令速度,实际速度,实际位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,速度超限报警时，指令速度{0:0}，实际速度{1:0}，实际位置{2:0}，实际力矩{3:0},安全保护
8,0X050B,TRUE,FALSE,操作过快,Too fast operation,速度过快,Exceed the speed limit,请点击“解除”恢复,Click REMOVE to restore,速度超限,监测每个关节速度值，超过阈值持续2.75ms则报警。,指令速度,实际速度,实际位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,速度超限报警时，指令速度{0:0}，实际速度{1:0}，实际位置{2:0}，实际力矩{3:0},安全保护
3,0X050D,TRUE,FALSE,运动异常,Abnormal movement,运动异常,Exceed the speed limit,,,速度超限,读取每个关节速度值，超过阈值进行报警,医生台车状态机,期望速度,实际速度,实际位置,tip,TRUE,TRUE,FALSE,,无,,速度超限报警时，医生台车状态为{0:4}，期望速度{1:0}，实际速度{2:0}，实际位置{3:0},安全保护
9,0X050D,TRUE,FALSE,运动异常,Abnormal movement,运动异常,Exceed the speed limit,,,速度超限,读取每个关节速度值，超过阈值进行报警,医生台车状态机,期望速度,实际速度,实际位置,tip,TRUE,TRUE,FALSE,,无,,速度超限报警时，医生台车状态为{0:4}，期望速度{1:0}，实际速度{2:0}，实际位置{3:0},安全保护
1,0X051B,TRUE,FALSE,操作过快,Too fast operation,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令速度超限,监测每个关节指令速度值，超过阈值持续2ms则报警。,指令速度,实际速度,实际位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,指令速度超限报警时，指令速度{0:0}，实际速度{1:0}，实际位置{2:0}，实际力矩{3:0},安全保护
8,0X051B,TRUE,FALSE,操作过快,Too fast operation,指令错误,False control data,请点击“解除”恢复,Click REMOVE to restore,指令速度超限,监测每个关节指令速度值，超过阈值持续2ms则报警。,指令速度,实际速度,实际位置,实际力矩,recoverable,TRUE,TRUE,FALSE,,中级,,指令速度超限报警时，指令速度{0:0}，实际速度{1:0}，实际位置{2:0}，实际力矩{3:0},安全保护
1,0X060B,FALSE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔位置超限,计算主、从手的末端笛卡尔位置，若超出阈值则报错,笛卡尔反馈位置X,笛卡尔反馈位置Y,笛卡尔反馈位置Z,0,recoverable,TRUE,TRUE,FALSE,,中级,,笛卡尔位置超限，笛卡尔X方向反馈位置{0:0}，笛卡尔Y方向反馈位置{1:0}，笛卡尔Z方向反馈位置{2:0},安全保护
8,0X060B,FALSE,FALSE,硬件异常,Hardware fault,位置超限,Exceed the position limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔位置超限,计算主、从手的末端笛卡尔位置，若超出阈值则报错,笛卡尔反馈位置X,笛卡尔反馈位置Y,笛卡尔反馈位置Z,0,recoverable,TRUE,TRUE,FALSE,,中级,,笛卡尔位置超限，笛卡尔X方向反馈位置{0:0}，笛卡尔Y方向反馈位置{1:0}，笛卡尔Z方向反馈位置{2:0},安全保护
1,0X061A,FALSE,FALSE,异常操作,Abnormal operation,非预期运动,Unexpected motion of slave arm ,请点击“解除”恢复,Click REMOVE to restore,笛卡尔非预期运动报警,监测主、从手末端笛卡尔线速度，若超出阈值持续0.019s则报错。,笛卡尔反馈速度X,笛卡尔反馈速度Y,笛卡尔反馈速度Z,笛卡尔线速度,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔非预期运动报警，笛卡尔X方向反馈速度{0:0}，笛卡尔Y方向反馈速度{1:0}，笛卡尔Z方向反馈速度{2:0}，笛卡尔线速度{3:0},安全保护
8,0X061A,FALSE,FALSE,异常操作,Abnormal operation,非预期运动,Unexpected motion of slave arm ,请点击“解除”恢复,Click REMOVE to restore,笛卡尔非预期运动报警,监测主、从手末端笛卡尔线速度，若超出阈值持续0.019s则报错。,笛卡尔反馈速度X,笛卡尔反馈速度Y,笛卡尔反馈速度Z,笛卡尔线速度,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔非预期运动报警，笛卡尔X方向反馈速度{0:0}，笛卡尔Y方向反馈速度{1:0}，笛卡尔Z方向反馈速度{2:0}，笛卡尔线速度{3:0},安全保护
1,0X062A,FALSE,FALSE,运动异常,Abnormal movement,运动过快,Exceed the speed limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔速度超限,监测从手末端笛卡尔线速度，若超出阈值持续0.7s则报错,笛卡尔反馈速度X,笛卡尔反馈速度Y,笛卡尔反馈速度Z,笛卡尔线速度,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔速度超限，笛卡尔X方向反馈速度{0:0}，笛卡尔Y方向反馈速度{1:0}，笛卡尔Z方向反馈速度{2:0}，笛卡尔线速度{3:0},安全保护
8,0X062A,FALSE,FALSE,运动异常,Abnormal movement,运动过快,Exceed the speed limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔速度超限,监测从手末端笛卡尔线速度，若超出阈值持续0.7s则报错,笛卡尔反馈速度X,笛卡尔反馈速度Y,笛卡尔反馈速度Z,笛卡尔线速度,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔速度超限，笛卡尔X方向反馈速度{0:0}，笛卡尔Y方向反馈速度{1:0}，笛卡尔Z方向反馈速度{2:0}，笛卡尔线速度{3:0},安全保护
1,0X063A,FALSE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔期望和实际位置偏差超限,监测主、从手末端笛卡尔位置，若笛卡尔位置偏差超过阈值持续(工具臂0.8s，主控制臂2s)则报警,笛卡尔指令与实际位置偏差X,笛卡尔指令与实际位置偏差Y,笛卡尔指令与实际位置偏差Z,0,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔期望和实际位置偏差超限，笛卡尔指令与实际位置X方向偏差{0:0}，笛卡尔指令与实际位置Y方向偏差{1:0}，笛卡尔指令与实际位置Z方向偏差{2:0},安全保护
8,0X063A,FALSE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔期望和实际位置偏差超限,监测主、从手末端笛卡尔位置，若笛卡尔位置偏差超过阈值持续(工具臂0.8s，主控制臂2s)则报警,笛卡尔指令与实际位置偏差X,笛卡尔指令与实际位置偏差Y,笛卡尔指令与实际位置偏差Z,0,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔期望和实际位置偏差超限，笛卡尔指令与实际位置X方向偏差{0:0}，笛卡尔指令与实际位置Y方向偏差{1:0}，笛卡尔指令与实际位置Z方向偏差{2:0},安全保护
1,0X064A,FALSE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔期望和实际姿态偏差超限,监测主、从手末端笛卡尔姿态，若笛卡尔实际姿态与期望姿态偏差超过阈值持续(工具臂0s，主控制臂2s)则报错,笛卡尔指令与实际位置偏差X,笛卡尔指令与实际位置偏差Y,笛卡尔指令与实际位置偏差Z,0,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔期望和实际姿态偏差超限，笛卡尔指令与实际姿态X方向偏差{0:0}，笛卡尔指令与实际姿态Y方向偏差{1:0}，笛卡尔指令与实际姿态Z方向偏差{2:0},安全保护
8,0X064A,FALSE,FALSE,运动异常,Abnormal movement,运动偏差,Exceed the motion deviation limit,请点击“解除”恢复,Click REMOVE to restore,笛卡尔期望和实际姿态偏差超限,监测主、从手末端笛卡尔姿态，若笛卡尔实际姿态与期望姿态偏差超过阈值持续(工具臂0s，主控制臂2s)则报错,笛卡尔指令与实际位置偏差X,笛卡尔指令与实际位置偏差Y,笛卡尔指令与实际位置偏差Z,0,recoverable,TRUE,TRUE,FALSE,,高级,,笛卡尔期望和实际姿态偏差超限，笛卡尔指令与实际姿态X方向偏差{0:0}，笛卡尔指令与实际姿态Y方向偏差{1:0}，笛卡尔指令与实际姿态Z方向偏差{2:0},安全保护
1,0X065A,FALSE,FALSE,运动异常,Abnormal movement,操作异常,Abnormal operation,请点击“解除”恢复,Click REMOVE to restore,主手笛卡尔位姿增量超限,监测主手末端笛卡尔位姿增量，若增量超过一定阈值且持续0.01s则报报警,笛卡尔位置增量,笛卡尔姿态增量,0,0,recoverable,TRUE,TRUE,FALSE,,高级,,主手笛卡尔位姿增量超限报警时，笛卡尔位置增量{0:0}，笛卡尔姿态增量{1:0},安全保护
8,0X065A,FALSE,FALSE,运动异常,Abnormal movement,操作异常,Abnormal operation,请点击“解除”恢复,Click REMOVE to restore,主手笛卡尔位姿增量超限,监测主手末端笛卡尔位姿增量，若增量超过一定阈值且持续0.01s则报报警,笛卡尔位置增量,笛卡尔姿态增量,0,0,recoverable,TRUE,TRUE,FALSE,,高级,,主手笛卡尔位姿增量超限报警时，笛卡尔位置增量{0:0}，笛卡尔姿态增量{1:0},安全保护
1,0X066A,FALSE,FALSE,运动异常,Abnormal movement,操作异常,Abnormal operation,请点击“解除”恢复,Click REMOVE to restore,主从笛卡尔位姿增量超限,主从控制下，分别监测主手与从手的位姿增量，主手与从手之间的位姿增量偏差超过一定阈值则报错,笛卡尔位置增量偏差X,笛卡尔位置增量偏差Y,笛卡尔位置增量偏差Z,笛卡尔线速度偏差,recoverable,TRUE,TRUE,FALSE,,高级,,主从笛卡尔位姿增量超限，笛卡尔位置增量偏差X{0:0}，笛卡尔位置增量偏差Y{1:0}，笛卡尔位置增量偏差Z{2:0}，笛卡尔线速度偏差{3:0},安全保护
